

Trajectories
100
,,Carre:Ante_braco1,,,Carre:Ante_braco2,,,Carre:braco2,,,Carre:caneta1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,22.4228,-122.016,256.003,83.9244,33.7596,141.245,-36.0455,137.815,142.74,-168.749,240.823,261.81
2,0,22.4823,-121.898,255.908,83.9224,33.712,140.937,-36.1493,137.727,142.286,-168.273,241.417,261.323
3,0,22.4976,-121.83,255.837,83.9552,33.6628,140.692,-36.2641,137.614,141.77,-167.673,241.82,260.876
4,0,22.5774,-121.758,255.749,83.9692,33.6324,140.503,-36.2715,137.494,141.31,-166.955,242.259,260.47
5,0,22.5749,-121.734,255.713,83.9944,33.5626,140.311,-36.2664,137.396,140.877,-166.164,242.699,260.07
6,0,22.6444,-121.668,255.646,84.0532,33.5128,140.137,-36.1867,137.362,140.474,-165.409,243.099,259.588
7,0,22.68,-121.632,255.592,84.0448,33.4447,139.967,-36.127,137.389,140.072,-164.705,243.443,259.147
8,0,22.6789,-121.594,255.527,84.0767,33.41,139.803,-36.116,137.388,139.611,-164.026,243.76,258.739
9,0,22.655,-121.543,255.468,84.1102,33.3754,139.685,-36.1362,137.385,139.115,-163.434,243.97,258.432
10,0,22.721,-121.53,255.405,84.2004,33.3553,139.545,-36.0832,137.387,138.605,-162.88,244.107,258.25
11,0,22.7409,-121.475,255.312,84.2572,33.3189,139.376,-36.0479,137.421,138.095,-162.327,244.153,258.117
12,0,22.7865,-121.41,255.23,84.3681,33.2515,139.229,-35.9886,137.419,137.55,-161.838,244.092,258.037
13,0,22.8193,-121.336,255.165,84.4818,33.1677,139.023,-35.9462,137.352,136.998,-161.503,244.018,257.963
14,0,22.7858,-121.245,255.078,84.5832,33.0901,138.822,-35.8402,137.323,136.432,-161.188,244.033,257.846
15,0,22.8156,-121.163,254.984,84.5944,32.9995,138.618,-35.7638,137.289,135.898,-160.632,244.123,257.703
16,0,22.8322,-121.136,254.907,84.6684,32.8693,138.364,-35.8263,137.224,135.389,-159.876,244.201,257.526
17,0,22.8221,-121.066,254.807,84.6206,32.7698,138.085,-35.9203,137.161,134.933,-159.174,244.092,257.346
18,0,22.9045,-121.008,254.71,84.6284,32.7427,137.791,-35.9174,137.162,134.499,-158.555,243.91,257.201
19,0,22.9537,-120.96,254.616,84.5794,32.6852,137.435,-35.9517,137.196,134.129,-158.118,243.363,257.057
