

Trajectories
100
,,Stylo:Corps1,,,
Frame,Sub Frame,X,Y,Z
,,mm,mm,mm
1,0,-122.259,114.948,168.629
2,0,-122.702,114.94,168.711
3,0,-123.069,114.822,168.744
4,0,-123.295,114.656,168.749
5,0,-123.313,114.449,168.786
6,0,-123.339,114.265,168.833
7,0,-123.403,114.168,168.829
8,0,-123.759,114.099,168.833
9,0,-124.212,114.013,168.841
10,0,-124.645,113.93,168.855
11,0,-125.002,113.818,168.908
12,0,-125.272,113.656,168.932
13,0,-125.467,113.52,168.947
14,0,-125.644,113.388,168.925
15,0,-125.795,113.243,168.911
16,0,-125.968,113.136,168.899
17,0,-126.137,113.024,168.913
18,0,-126.264,112.955,168.918
19,0,-126.395,112.869,168.917
20,0,-126.435,112.82,168.902
21,0,-126.474,112.753,168.893
22,0,-126.521,112.774,168.843
23,0,-126.568,112.767,168.801
24,0,-126.64,112.77,168.757
25,0,-126.718,112.79,168.767
26,0,-126.788,112.813,168.764
27,0,-126.898,112.836,168.744
28,0,-127.13,112.882,168.721
29,0,-127.367,112.915,168.708
30,0,-127.658,112.918,168.662
31,0,-127.913,112.949,168.681
32,0,-128.141,112.941,168.694
33,0,-128.379,112.885,168.675
34,0,-128.574,112.908,168.662
35,0,-128.817,112.931,168.649
36,0,-129.113,112.984,168.638
37,0,-129.563,113.016,168.592
38,0,-130.011,113.043,168.573
39,0,-130.48,113.091,168.549
40,0,-130.943,113.067,168.518
41,0,-131.353,113.121,168.523
42,0,-131.693,113.154,168.47
43,0,-131.995,113.184,168.448
44,0,-132.261,113.172,168.412
45,0,-132.489,113.129,168.381
46,0,-132.61,113.118,168.386
47,0,-132.701,113.135,168.378
48,0,-132.695,113.147,168.35
49,0,-132.652,113.245,168.328
50,0,-132.433,113.342,168.277
51,0,-132.146,113.503,168.223
52,0,-131.665,113.629,168.135
53,0,-131.164,113.753,167.979
54,0,-130.626,113.942,167.849
55,0,-129.923,114.148,167.732
56,0,-129.322,114.431,167.607
57,0,-128.923,114.703,167.538
58,0,-128.752,115.095,167.723
59,0,-128.987,115.754,167.793
60,0,-129.119,116.376,167.832
61,0,-129.276,116.996,167.833
62,0,-129.495,117.339,167.724
63,0,-129.877,117.939,167.747
64,0,-130.324,118.537,167.908
65,0,-131.213,119.15,168.024
66,0,-131.892,119.267,168.009
67,0,-133.303,119.82,167.914
68,0,-134.529,120.069,167.868
69,0,-135.64,119.986,167.696
